categoria,item_canonico,unidade_catalogo,marcas_aceitas,ja_existe_como
Refrigeração,Creme de leite Leco,cx,Leco,Leite [INSUMO] || Creme de Leite industrial 1 l [INSUMO] || Sorvete de creme [VENDA_SIMPLES]
Refrigeração,Alcaparras,balde,,
Refrigeração,Batata palito,kg,,Batata Frita [INSUMO] || Batata ondulada [INSUMO] || Batata corte caseiro [INSUMO]
Proteína,Pé de galinha,kg,,
Proteína,Camarão cinza com rabo,kg,,Camarão 18/24 [INSUMO] || Bolinho de peixe recheado com camarao 1 unid [VENDA_SIMPLES]
Proteína,Lula,kg,,
Proteína,Costelinha suína,kg,,
Proteína,Charque,kg,,
Proteína,Salmão,lâmina,,FILE SALMAO [INSUMO] || Salmao papelote [INSUMO] || Salmao Porcao [INSUMO]
Estoque seco,Bifum,pct,,
Estoque seco,Penne De Luca,pct,De Luca,
Estoque seco,Massa negra,un,,Massa Mago 200g [INSUMO]
Estoque seco,Espeto de bambu tipo golfe,pct,,
Estoque seco,Fumaça líquida,garrafa,,
Estoque seco,Fumaça em pó,un,,
Estoque seco,Páprica defumada,g,,
Estoque seco,Lemon pepper,g,,
Estoque seco,Papel alumínio,un,,CANUDO PAPEL [INSUMO]
Estoque seco,Xerém de castanha,kg,,
Estoque seco,Óleo de girassol,fardo,,"Óleo de Soja [INSUMO] || OLEO ALGODAO LIZA 15,8L [INSUMO] || OLEO ALGODAO LIZA 15,8L [INSUMO]"
Estoque seco,Damasco,kg,,
Estoque seco,Funghi,kg,,
Estoque seco,Tapioca granulada média,kg,,
Estoque seco,Macarrão funcionário,fardo,,
Estoque seco,Café,pct,,T CAFE FAMILIA [VENDA_SIMPLES] || Cafe Nespresso Capriccio [INSUMO] || Café Nespresso Istanbul [INSUMO]
Hortifruti,Tomilho,maço,,
Hortifruti,Tomate cereja,caixinha,,Tomate [INSUMO]
Hortifruti,Cenoura,kg,,
Hortifruti,Banana da terra,dz,,
Hortifruti,Brócolis,cx,,
Hortifruti,Coentro,maço,,
Hortifruti,Salsa,maço,,
Hortifruti,Batata bolinha,kg,,Batata Frita [INSUMO] || Batata ondulada [INSUMO] || Batata corte caseiro [INSUMO]
Hortifruti,Batata inglesa,kg,,Batata Frita [INSUMO] || Batata ondulada [INSUMO] || Batata corte caseiro [INSUMO]
Hortifruti,Cebola roxa,kg,,Cebola [INSUMO]
Hortifruti,Cebolinha,maço,,
Hortifruti,Alho poró,un,,
Hortifruti,Alface roxa,un,,Alface [INSUMO]
Hortifruti,Alface americana,un,,Alface [INSUMO]
Hortifruti,Alface crespa,un,,Alface [INSUMO]
Hortifruti,Shitake,un,,
Hortifruti,Shimeji,un,,
Utensílios,Saco de porcionamento médio,pct,,
Utensílios,Saco de porcionamento grande,pct,,
Utensílios,Pote 1000ml,pct,,
Utensílios,Pote 1500ml,pct,,
Utensílios,Plástico filme grande,un,,
Utensílios,Plástico filme médio,un,,
Utensílios,Espátula de silicone,un,,
Utensílios,Fouet,un,,
Utensílios,Mangueira saída de água p/ forno,un,,
Bebidas - Refrigerantes,Coca-cola zero vidro 290ml (KS),cx,Coca-Cola,Coca-cola Vidro 200 ml [VENDA_SIMPLES] || Refrigerante COCA COLA 2 L [INSUMO] || Refrigerante COCA KS 290ML [INSUMO]
Bebidas - Refrigerantes,Coca-cola vidro 290ml (KS),cx,Coca-Cola,Coca-cola Vidro 200 ml [VENDA_SIMPLES] || Refrigerante COCA COLA 2 L [INSUMO] || Refrigerante COCA KS 290ML [INSUMO]
Bebidas - Refrigerantes,Coca-cola zero lata 350ml,un,Coca-Cola,Refrigerante Coca Lata 350ml [INSUMO] || Refrigerante Coca Lata Zero [INSUMO] || Refrigerante COCA COLA 2 L [INSUMO]
Bebidas - Refrigerantes,Coca-cola lata 350ml,un,Coca-Cola,Refrigerante Coca Lata 350ml [INSUMO] || Refrigerante COCA COLA 2 L [INSUMO] || Refrigerante Coca Lata Zero [INSUMO]
