orfao_id,descricao,fornecedor_nome,nota_numero,data_emissao,melhor_produto_id,melhor_produto_nome,melhor_score,segundo_score,ambiguo,faixa
56b8ff38-4cd0-43b0-bfac-e378bfac2d87,LICOR AMARETTO,2SIS COMMERCE,7884,2026-03-30,82b14f75-31ce-4c19-af79-f48ccea90b88,Licor Bananinha,0.3333,0.1667,false,0.20-0.40
41cc44f8-d18a-48d8-b819-c55cc99cfb3e,PINCA PARA ESPINHA DE PEIXE,Shopping de utilid. e equip. comercio e rep. ltda,38427,2026-02-09,026befa9-4b9d-444d-93b0-c8bedcfe5728,Xarope de Baunilha,0.1429,0.1429,true,<0.20
8a42688b-e2e8-4043-8d7f-0f520cba0ea6,MASSA FRESCA ESPECIAL,Alessandro D Anneo (Massa Nero),202612123,2026-02-09,e55551e7-c06a-4962-b7c9-aaf683791d8d,Cereja fresca,0.2500,0.2500,true,0.20-0.40
d15851ac-9b60-45f7-9553-73340b58091a,ISQUEIRO BIC MAXI GR.C/12 DG(22)59135,COMEL,592299,2026-02-09,9ddf3d03-cc9f-4cb3-97d2-a6632fce9597,Plástico filme grande,0.1000,0.0909,true,<0.20
a54650b4-244a-48b2-a0e9-0cef5de25d75,LUVA NITRILICA PRETA GR.C/100 VABENE(10)3073IND,COMEL,592299,2026-02-09,30688e36-2eda-4642-a58c-d7371ec6bdf5,Escalope 100g,0.1000,0.1000,true,<0.20
974585b4-eac2-419d-95a3-8194b91763a5,POTE ULTRA 100ML.TRANS.SORV.C/50(40)582002,COMEL,592299,2026-02-09,d0763142-efce-4679-b1e8-ac10efc84350,Pote 1500ml,0.2000,0.2000,true,0.20-0.40
ce472db4-6c27-43e2-9aad-2bd7271fb827,POTETAMPA PLASZ.220GR.C/25(22)226666,COMEL,592299,2026-02-09,9ddf3d03-cc9f-4cb3-97d2-a6632fce9597,Plástico filme grande,0.1111,0.1000,true,<0.20
6620b14c-eb91-47a8-8a5f-6d6deba5eb32,SACOS A VACUO 2KG 20X35.12 C/100 ALIPROT(500)23054,COMEL,592299,2026-02-09,30688e36-2eda-4642-a58c-d7371ec6bdf5,Escalope 100g,0.0909,0.0909,true,<0.20
ede69a59-1959-46c9-8d03-ef671f40e4ec,SACOS PL.1/2KG.12X25X10C/100 PLASF(4MIL)1395,COMEL,592299,2026-02-09,30688e36-2eda-4642-a58c-d7371ec6bdf5,Escalope 100g,0.0909,0.0909,true,<0.20
29f9c7cf-e055-40c6-a693-130bbe177f14,START GRILL DESINCR.5LT. ALCAL(15)(04)71440,COMEL,592299,2026-02-09,86d07cce-1977-460a-b374-70294b02f91f,COCA LATA ZERO,0.1000,0.0909,true,<0.20
e138feba-572e-4496-811e-9f58d550c2a2,TAMPAS PT100 CP120150/180/200 C/50 ULTRA(40)592001,COMEL,592299,2026-02-09,d391566d-58d4-43a8-b222-ccdf0b052af1,Salmao 200g,0.0833,0.0833,true,<0.20
b53586cc-a6dc-4dee-b191-19f227493de3,FLOCAO PINDORAMA 400G 20 UNID,ROCHA LATICINIOS E EMBALAGENS,1889,2026-02-10,81d2ca26-4119-4655-a433-3c6de973866b,H20 Limão,0.1667,0.1429,true,<0.20
ee675896-701f-41a8-b7ed-fc3e1270f739,ACUCAR PINHEIRO FARDO C/30UND,ROCHA LATICINIOS E EMBALAGENS,1889,2026-02-10,3e68caa0-87c4-4689-8f8b-cd943486c53c,Camarão 36/40 - Pistola/Cinza (2 UN) 30g,0.2000,0.2000,true,0.20-0.40
efa69923-9ece-4ac2-98f8-34878351fcc6,"ALUMINIO VABENE 45CMX7,5M",ROCHA LATICINIOS E EMBALAGENS,1889,2026-02-10,ca9f468c-8560-4d9a-833f-0773ec01f129,Papel alumínio,0.2000,0.0000,false,0.20-0.40
d2c8f321-9184-4ab0-9016-148a44681222,PIMENTA CALABRESA KG,ROCHA LATICINIOS E EMBALAGENS,1889,2026-02-10,1f492d2e-a26f-4b0e-af85-437e24be210f,* Excluído * Calabresa,0.2500,0.2500,true,0.20-0.40
ccf2a61e-d6c9-421b-afbe-e3a23391eb0f,QUEIJO PRE COZIDO KG,ROCHA LATICINIOS E EMBALAGENS,1889,2026-02-10,e5a0c0d1-cf0c-4232-9721-e8a2589ec119,Cenoura kg,0.2000,0.2000,true,0.20-0.40
86a4d913-a3f7-4fdf-be48-bf4489fd11ed,PARMESAO KG,ROCHA LATICINIOS E EMBALAGENS,1889,2026-02-10,5ce6f5d7-4ef6-4a55-b76a-19fd1c0e3110,Parmesao,0.5000,0.3333,false,0.40-0.60
f6372861-981e-4890-ba40-bbd59bd92384,BOV PICANHA BLACK FRIBOI KG GRANEL,Megga distribuidora ltda,529342,2026-02-10,263232ed-d162-496b-9a78-9882e8b199f7,Picanha,0.1667,0.1429,true,<0.20
1854b390-bf4f-4658-bb74-f1811e7bd60e,Calculadora de mesa cbobina12 digitos 42MA51210000 CX 1 UN,Kalunga SA,65094,2026-02-11,6c00d286-aead-4946-8738-f2ae869b99fc,* Excluído * Disco de Macaxeira (ver quantidade da unidade),0.1176,0.0769,true,<0.20
dcdb8f06-8b37-48f3-a1d3-ac7f1f9a6618,Elastico super amarelo n.18 c200un. B0501020407008 PT 1 UN,Kalunga SA,65094,2026-02-11,d391566d-58d4-43a8-b222-ccdf0b052af1,Salmao 200g,0.1111,0.1111,true,<0.20
8019a3fb-ecf4-4124-b66f-5ea80f5a8ab2,Movimento do caixa entrada 100fls 105x147mm 203 UN 1 UN,Kalunga SA,65094,2026-02-11,30688e36-2eda-4642-a58c-d7371ec6bdf5,Escalope 100g,0.0833,0.0833,true,<0.20
37f91916-18bf-4234-bb76-7eb442a3aebd,Bobina calculadora 57mmx30m . 88949 UN 1 UN,Kalunga SA,65094,2026-02-11,3e68caa0-87c4-4689-8f8b-cd943486c53c,Camarão 36/40 - Pistola/Cinza (2 UN) 30g,0.1667,0.1111,true,<0.20
0d480fdc-e522-4c30-94e1-5b31d68edcfc,Caneta esferografica 1.0mm cristal lev4 pag3 868795 BT 4 UN,Kalunga SA,65094,2026-02-11,574249e0-105a-4240-963e-ad62bb6337ee,Polvo por unidade,0.0909,0.0909,true,<0.20
5fb0f7d4-8ff9-461a-a439-24ec657a2cbc,Extrator de grampo espatula galvanizado 4968 CX 1 UN,Kalunga SA,65094,2026-02-11,16817a72-df05-4d1e-b367-dfc5b1b809fb,Espátula de silicone,0.2222,0.1429,true,0.20-0.40
3a8dec34-4aa1-4028-a93b-d8c733ed5439,Bobina termica para PDV 80mmx40m 64631 CX 10 UN,Kalunga SA,65094,2026-02-11,3e68caa0-87c4-4689-8f8b-cd943486c53c,Camarão 36/40 - Pistola/Cinza (2 UN) 30g,0.1250,0.0769,true,<0.20
