bucket,produto_id,nome,tipo,descontinuado,controla_estoque,categoria_compras,items_nfe_matched,orfaos_token_match,vendas_total,vendas_90d,vendas_30d,qtd_vendida_30d,ultima_venda
AUTO_NFE,a4ddf613-060f-4cda-8286-9365dd614e8c,Vinho Tinto Amadeo Gran Reserva Malbec,VENDA_SIMPLES,false,true,,0,8,0,0,0,0,
AUTO_NFE,734c6ab5-d7ee-45d5-b327-0a244c49fd0c,PARAGON RUE BERRY - Drink,INSUMO,false,true,,0,1,0,0,0,0,
AUTO_NFE,f4d258fb-55a9-43bb-9e7d-5e6375e8c22b,Vermouth Dolin rouge 750ml,INSUMO,false,true,,0,14,0,0,0,0,
AUTO_NFE,922bd502-071b-4f1a-8812-9ebaa202d49e,Old parr garrafa 1L,INSUMO,false,true,,0,1,0,0,0,0,
AUTO_NFE,fc9db73e-7374-401c-abcf-e8932ad5e38f,PORCAO DE MASSA NERO,VENDA_SIMPLES,false,false,,0,6,0,0,0,0,
AUTO_NFE,1d799f51-a0d7-4a77-b877-3747534e12a5,Garrafa de Água de coco,INSUMO,false,true,,0,11,0,0,0,0,
DESCONTINUADO,aa71ac3c-e924-4094-9f00-3f5506c8a0a9,* Excluído * Sprite lata 350ml,VENDA_SIMPLES,true,true,,0,21,0,0,0,0,
AUTO_NFE,26a62601-a3b4-4a5d-9949-e8c8a32b74ee,chocolate branco,INSUMO,false,true,,0,11,0,0,0,0,
AUTO_NFE,4b6e6d8a-d6d6-460b-b464-46182f0b2c5c,Vinho Porto Valdouro 10 anos,INSUMO,false,true,,0,5,0,0,0,0,
AUTO_NFE,0b24fffa-0676-4303-a555-3acd682d0629,Vinho Tinto Cartuxa EA 375ml,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
AUTO_NFE,99052654-93ae-4749-b6fd-4d61547741a6,Expresso Com Leite,VENDA_SIMPLES,false,false,,0,14,0,0,0,0,
NUNCA_VENDIDO,8064272d-842d-407d-96c4-ae6f6ebd6c88,PRATO KIDS,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
AUTO_NFE,106f24c5-a4b0-426c-a958-91d9801e633c,Vinho Tinto MOB Gauve,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
AUTO_NFE,e0b186e4-4a54-4b31-9893-9f20bd7f2230,Queijo Brie,INSUMO,false,true,,0,10,0,0,0,0,
NUNCA_VENDIDO,2242747a-2c5d-4d83-8b72-234ebe25498e,T-BONE CORDEIRO,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
AUTO_NFE,2d3ac7fc-70a0-4443-a6b3-e419f398aad5,Farinha panko,INSUMO,false,true,,0,6,0,0,0,0,
AUTO_NFE,94faa5e3-5f71-4710-bd57-ac9f1f56a032,Mini Fondue  - RUA LARANJEIRAS,VENDA_SIMPLES,false,false,,0,1,0,0,0,0,
AUTO_NFE,4251fa09-9865-4122-a1b0-39a889a03a6a,Vinho Branco Alorna Portas do sol,VENDA_SIMPLES,false,true,,0,14,0,0,0,0,
AUTO_NFE,2dc323c7-7b96-4884-a5fb-9e57281b7e7c,oleo de soja,INSUMO,false,true,,0,6,0,0,0,0,
NUNCA_VENDIDO,66428f8d-672b-41b5-aa7f-78d1c60dcbb7,Uisque Bourbon JimBeam,INSUMO,false,true,,0,0,0,0,0,0,
DESCONTINUADO,374e05ff-7d5c-4dc2-80f1-aae3720c98af,* Excluído * Pão para hambúrguer com gergelim,INSUMO,true,true,,0,6,0,0,0,0,
DESCONTINUADO,59c637e2-0bbb-471c-97f5-151aafaed975,* Excluído * Carangueijo,INSUMO,true,true,,0,0,0,0,0,0,
AUTO_NFE,6aada19e-c799-4114-af53-2def60ee9c19,Peito de pato,INSUMO,false,true,,0,4,0,0,0,0,
AUTO_NFE,48cd54e5-8e66-4f55-9376-07c07cb27e12,XAROPE DE GENGIBRE  - Drink,INSUMO,false,true,,0,2,0,0,0,0,
AUTO_NFE,f7095533-e0ab-4a1b-9e70-c6e1f4a21865,Leite liquido,INSUMO,false,true,,0,13,0,0,0,0,
AUTO_NFE,dd418c25-e2a0-4901-84cb-14abb349c471,Vermouth Rosso punt e mes - Garrafa,VENDA_SIMPLES,false,false,,0,1,0,0,0,0,
